"id","cate_id","food_name","alias_name","english_name","edible_part","water","energy","protein","fat","cholesterol","ash","carbohydrate","dietary_fiber","carotene","vitamin_a","vitamin_e","thiamin","riboflavin","niacin","vitamin_c","calcium","phosphorus","potassium","sodium","magnesium","iron","zinc","selenium","copper","manganese","iodine","sfa","mufa","pufa","fatty_acids_total"
"1452","113","花生牛轧糖","","","100%","6.5g","1820kJ","4.9g","12.3g","","0.9g","75.4g","","","","—","0.06mg","0.01mg","0.50mg","","29mg","123mg","73mg","168.1mg","17mg","3.6mg","2.12mg","0.00μg","0.23mg","0.22mg","","—","—","—","—"
"1453","113","奶糖","","","100%","5.6g","1723kJ","2.5g","6.6g","","0.8g","84.5g","","","","—","0.08mg","0.17mg","0.60mg","","50mg","26mg","75mg","222.5mg","20mg","3.4mg","0.29mg","0.90μg","0.14mg","0.09mg","","—","—","—","—"
"1454","113","巧克力","","","100%","1.0g","2465kJ","4.3g","40.1g","","1.2g","53.4g","","","","—","0.06mg","0.08mg","1.40mg","","111mg","114mg","254mg","111.8mg","56mg","1.7mg","1.02mg","1.20μg","0.23mg","0.61mg","","—","—","—","—"
"1455","113","巧克力(维夫)[朱古力威化]","","","100%","2.1g","2405kJ","8.2g","38.4g","","1.6g","49.7g","","","","—","0.08mg","0.07mg","0.40mg","","61mg","128mg","292mg","111.2mg","69mg","5.5mg","1.36mg","","0.30mg","0.93mg","","—","—","—","—"
"1456","113","酥糖","","","100%","3.3g","1902kJ","6.0g","13.9g","","1.2g","75.6g","","","","—","0.10mg","0.04mg","3.50mg","","186mg","135mg","148mg","45.0mg","62mg","6.0mg","1.52mg","1.10μg","0.30mg","0.50mg","","—","—","—","—"
"1457","113","酸三色糖","","","100%","0.7g","1688kJ","","0.4g","","0.5g","98.4g","","","","—","","","0.10mg","","10mg","2mg","11mg","154.7mg","9mg","2.3mg","0.08mg","","0.12mg","0.05mg","","—","—","—","—"
"1458","113","夹心糖","","","100%","1.1g","2072kJ","2.6g","20.7g","—","1.4g","74.2g","Tr","—","—","—","0.04mg","0.11mg","Tr","—","127mg","67mg","144mg","246.6mg","26mg","4.0mg","0.86mg","2.40μg","0.50mg","0.22mg","—","64.7%","25.6%","9.7%","100.0%"
"1459","113","水果味软糖","","","100%","8.0g","1567kJ","6.0g","0.3g","—","0.1g","85.6g","0.10g","—","—","—","0.02mg","0.04mg","Tr","—","4mg","9mg","14mg","57.3mg","2mg","0.7mg","0.28mg","0.60μg","0.02mg","0.05mg","Tr","—","—","—","—"
"1460","113","牛奶糖","","","100%","0.7g","1840kJ","2.2g","8.2g","—","0.7g","88.2g","","—","—","—","0.07mg","0.10mg","Tr","—","65mg","75mg","200mg","2.7mg","2mg","0.5mg","1.55mg","0.90μg","0.04mg","0.09mg","14.8μg","62.8%","30.3%","6.9%","100.0%"
"1461","113","酸奶软糖","","","100%","1.0g","1713kJ","Tr","1.6g","—","0.1g","97.3g","Tr","—","—","—","Tr","0.01mg","Tr","—","2mg","1mg","3mg","8.3mg","1mg","0.1mg","0.07mg","0.40μg","0.01mg","0.03mg","—","—","—","—","—"
"1462","113","太妃糖","","","100%","6.0g","1911kJ","3.7g","16.5g","—","1.0g","72.8g","","—","79.0μg","2.17mg","0.02mg","0.14mg","Tr","—","—","—","—","—","—","—","—","—","—","—","3.5μg","—","—","—","—"
"1463","113","巧克力(充气)","","","100%","1.1g","2303kJ","9.2g","32.8g","—","2.0g","54.9g","","—","54.0μg","1.38mg","0.11mg","0.49mg","0.35mg","—","—","—","—","—","—","—","—","2.30μg","—","—","1.1μg","—","—","—","—"
"1464","113","巧克力(果仁)","","","100%","1.0g","2317kJ","9.9g","33.5g","—","2.1g","53.5g","","—","29.0μg","—","0.10mg","0.37mg","0.67mg","—","—","—","—","—","—","—","—","2.50μg","—","—","—","—","—","—","—"
"1465","113","巧克力(黑)","","","100%","—","2247kJ","4.2g","30.0g","0mg","—","65.8g","5.90g","—","1.0μg","—","0.06mg","0.09mg","0.43mg","0.0mg","32mg","132mg","365mg","11.0mg","115mg","—","1.62mg","3.10μg","0.70mg","0.80mg","—","—","—","—","—"
"1466","113","巧克力(牛奶)","","","100%","0.9g","2438kJ","8.2g","39.2g","—","1.8g","49.9g","","—","32.0μg","1.40mg","0.11mg","0.24mg","0.53mg","—","—","—","—","—","—","—","—","2.50μg","—","—","1.8μg","—","—","—","—"
"1467","114","海棠脯","","","100%","25.8g","1252kJ","0.6g","0.2g","","0.8g","72.6g","","60.0μg","","—","0.02mg","0.05mg","0.30mg","","19mg","10mg","144mg","200.5mg","12mg","3.1mg","0.27mg","0.30μg","0.19mg","0.13mg","","—","—","—","—"
"1468","114","李广杏脯","","","100%","23.7g","1284kJ","2.8g","0.3g","","1.1g","72.1g","","480.0μg","","—","","0.03mg","1.50mg","8.0mg","397mg","26mg","409mg","146.5mg","49mg","12.3mg","3.47mg","6.70μg","6.13mg","0.23mg","","—","—","—","—"
"1469","114","苹果脯","","","100%","14.2g","1457kJ","0.6g","0.1g","","0.2g","84.9g","","70.0μg","","—","0.01mg","0.09mg","0.10mg","","9mg","12mg","67mg","12.8mg","5mg","1.6mg","0.16mg","0.20μg","0.12mg","0.05mg","","—","—","—","—"
"1470","114","桃脯","","","100%","19.2g","1358kJ","1.4g","0.4g","","1.4g","77.6g","","50.0μg","","—","0.01mg","0.12mg","0.80mg","6.0mg","96mg","32mg","286mg","243.0mg","29mg","10.4mg","0.18mg","1.40μg","0.22mg","0.32mg","","—","—","—","—"
"1471","114","杏脯","","","100%","15.3g","1430kJ","0.8g","0.6g","","1.3g","82.0g","","940.0μg","","—","0.02mg","0.09mg","0.60mg","6.0mg","68mg","22mg","266mg","213.3mg","12mg","4.8mg","0.56mg","1.70μg","0.26mg","0.13mg","","—","—","—","—"
"1472","114","金糕条[山楂条]","","","100%","22.6g","1301kJ","0.6g","0.6g","","1.6g","74.6g","","60.0μg","","—","0.02mg","0.08mg","0.30mg","10.0mg","42mg","18mg","302mg","192.1mg","13mg","6.3mg","0.41mg","1.90μg","0.17mg","0.14mg","","—","—","—","—"
"1473","114","山楂果丹皮","","","100%","16.7g","1407kJ","1.0g","0.8g","","1.5g","80.0g","","150.0μg","","—","0.02mg","0.03mg","0.70mg","3.0mg","52mg","41mg","312mg","115.5mg","66mg","11.6mg","0.73mg","0.60μg","0.51mg","0.35mg","","—","—","—","—"
"1474","114","冰糖酸角","","","67%","27.0g","1148kJ","2.3g","0.0g","—","1.8g","68.9g","6.90g","—","0.0μg","—","0.22mg","0.04mg","0.23mg","—","61mg","68mg","1330mg","120.7mg","61mg","4.3mg","0.34mg","0.70μg","0.28mg","0.28mg","—","—","—","—","—"
"1475","114","甘草杏","","","60%","42.1g","758kJ","2.7g","1.1g","—","8.0g","46.1g","12.50g","596.0μg","0.0μg","—","0.02mg","0.02mg","0.80mg","—","378mg","67mg","1523mg","2574.2mg","51mg","7.2mg","0.61mg","—","0.31mg","0.41mg","3.1μg","—","—","—","—"
"1476","114","清凉杏肉","","","100%","16.4g","1384kJ","2.0g","0.2g","—","2.4g","79.0g","","—","0.0μg","—","—","—","—","0.9mg","22mg","—","—","846.4mg","—","2.4mg","—","—","—","—","—","—","—","—","—"
"1477","114","雪梅","","","70%","17.2g","1207kJ","3.1g","1.1g","—","6.2g","72.4g","13.00g","—","0.0μg","—","—","0.04mg","0.65mg","—","205mg","151mg","1653mg","895.6mg","100mg","24.7mg","1.06mg","—","0.40mg","0.58mg","—","62.7%","12.7%","24.6%","100.0%"
"1478","114","九制梅肉","","","100%","15.0g","1226kJ","3.4g","3.2g","—","7.6g","70.8g","17.10g","—","0.0μg","—","Tr","0.07mg","—","—","219mg","79mg","1317mg","958.0mg","184mg","39.0mg","0.65mg","0.60μg","0.36mg","1.26mg","—","10.1%","32.8%","57.0%","99.9%"
"1479","114","九制西梅","","","73%","28.7g","1082kJ","2.6g","1.2g","—","1.6g","65.9g","14.10g","Tr","0.0μg","—","0.03mg","0.04mg","0.77mg","—","100mg","57mg","1437mg","4.3mg","25mg","1.8mg","0.48mg","6.10μg","0.17mg","0.47mg","—","56.9%","Tr","43.2%","100.1%"
"1480","114","九制应子","","","83%","28.7g","770kJ","2.3g","0.6g","—","19.8g","48.6g","13.10g","Tr","0.0μg","—","0.03mg","0.03mg","Tr","—","49mg","23mg","258mg","8322.8mg","23mg","5.4mg","0.55mg","1.10μg","0.21mg","0.32mg","—","58.6%","1.5%","39.8%","99.9%"
"1481","114","梅脯","","","100%","19.4g","1345kJ","0.3g","1.1g","—","0.4g","78.8g","4.50g","—","0.0μg","0.10mg","0.02mg","0.01mg","Tr","—","52mg","231mg","179mg","85.5mg","7mg","2.1mg","1.26mg","—","0.03mg","—","—","57.2%","25.7%","17.0%","99.9%"
"1482","114","阿胶枣","","","100%","14.7g","1444kJ","2.5g","0.2g","—","0.6g","82.0g","","—","0.0μg","—","—","—","—","Tr","24mg","—","—","492.9mg","—","1.4mg","—","—","—","—","—","—","—","—","—"
"1483","114","黑贡枣","","","100%","17.3g","1348kJ","2.7g","0.9g","—","1.1g","78.0g","6.40g","Tr","0.0μg","0.00mg","0.06mg","0.12mg","Tr","14.0mg","52mg","25mg","548mg","7.9mg","24mg","5.0mg","0.52mg","0.30μg","0.15mg","0.09mg","—","—","—","—","—"
